ENSMUSG00000001473.6	Tubb6
ENSMUSG00000001482.11	Def8
ENSMUSG00000001493.9	Meox1
ENSMUSG00000001494.6	Sost
ENSMUSG00000001496.12	Nkx2-1
ENSMUSG00000001497.15	Pax9
ENSMUSG00000001504.10	Irx2
ENSMUSG00000001506.10	Col1a1
ENSMUSG00000001507.13	Itga3
ENSMUSG00000001508.12	Sgca
ENSMUSG00000001510.8	Dlx3
ENSMUSG00000001517.11	Foxm1
ENSMUSG00000001518.10	Itfg2
ENSMUSG00000001520.9	Nrip2
ENSMUSG00000001521.9	Tulp3
ENSMUSG00000001524.11	Gtf2h4
ENSMUSG00000001525.10	Tubb5
ENSMUSG00000001542.6	Ell2
ENSMUSG00000001552.11	Jup
ENSMUSG00000001555.7	Fkbp10
ENSMUSG00000001558.5	Klhl10
ENSMUSG00000001566.9	Mnx1
ENSMUSG00000001569.10	Nom1
ENSMUSG00000001576.11	Ergic1
ENSMUSG00000001583.10	Tnk1
ENSMUSG00000001588.9	Acap1
ENSMUSG00000001604.11	Tcea3
ENSMUSG00000001622.12	Csn3
ENSMUSG00000001627.8	Ifrd1
ENSMUSG00000001630.10	Stk38l
ENSMUSG00000001632.13	Brpf1
ENSMUSG00000001642.15	Akr1b3
ENSMUSG00000001655.6	Hoxc13
ENSMUSG00000001656.3	Hoxc11
ENSMUSG00000001657.7	Hoxc8
ENSMUSG00000001661.5	Hoxc6
ENSMUSG00000001663.7	Gstt1
ENSMUSG00000001665.7	Gstt3
ENSMUSG00000001666.8	Ddt
ENSMUSG00000001670.10	Tat
ENSMUSG00000001672.11	Marveld3
ENSMUSG00000001674.8	Ddx18
ENSMUSG00000001687.12	Ubl3
ENSMUSG00000001700.9	Gramd3
ENSMUSG00000001707.7	Eef1e1
ENSMUSG00000001729.11	Akt1
ENSMUSG00000001739.11	Cldn15
ENSMUSG00000001741.8	Il16
ENSMUSG00000001750.12	Tcirg1
ENSMUSG00000001751.9	Naglu
ENSMUSG00000001755.9	Coasy
ENSMUSG00000001761.6	Smo
ENSMUSG00000001763.11	Tspan33
ENSMUSG00000001767.5	Crnkl1
ENSMUSG00000001768.12	Rin2
ENSMUSG00000001773.10	Folh1
ENSMUSG00000001774.7	Chordc1
ENSMUSG00000001783.3	Rtcb
ENSMUSG00000001785.8	Pwp1
ENSMUSG00000001786.11	Fbxo7
ENSMUSG00000001794.9	Capns1
ENSMUSG00000001802.13	Lrp3
ENSMUSG00000001804.9	Dsg4
ENSMUSG00000001815.12	Evx2
ENSMUSG00000001819.4	Hoxd13
ENSMUSG00000001823.5	Hoxd12
ENSMUSG00000001827.8	Folr1
ENSMUSG00000001829.13	Clpb
ENSMUSG00000001833.13	Sept7
ENSMUSG00000001844.7	Zdhhc4
ENSMUSG00000001847.11	Rac1
ENSMUSG00000001855.12	Nup214
ENSMUSG00000001864.10	Aif1l
ENSMUSG00000001865.2	Cpa3
ENSMUSG00000001870.12	Ltbp1
ENSMUSG00000001891.13	Ugp2
ENSMUSG00000001901.12	Kcnh6
ENSMUSG00000001909.12	Trmt1
ENSMUSG00000001910.4	Nacc1
ENSMUSG00000001911.13	Nfix
ENSMUSG00000001918.14	Slc1a5
ENSMUSG00000001924.12	Uba1
ENSMUSG00000001930.14	Vwf
ENSMUSG00000001942.7	Siae
ENSMUSG00000001943.7	Vsig2
ENSMUSG00000001946.10	Esam
ENSMUSG00000001948.9	Spa17
ENSMUSG00000001962.8	Fam50a
ENSMUSG00000001964.11	Emd
ENSMUSG00000001983.7	Taco1
ENSMUSG00000001985.9	Grik3
ENSMUSG00000001986.13	Gria3
